id,lat,long,description,full_address,source,created_at,updated_at,address,polygon,street_number,street_name,locality,postal_code,sub_locality,admin_levels,country,country_code,timezone,raw
9325,42.391429,-71.030418,,"93 bellingham street 3",,"2016-12-19 14:17:10","2016-12-19 14:17:10",,"{""south"":42.391429,""west"":-71.030418,""north"":42.391429,""east"":-71.030418}",93,"Bellingham Street",Chelsea,02150,Massachusetts,,"United States",US,,
9326,42.3920543,-71.036576,,"42 fourth street q",,"2016-12-19 14:17:11","2016-12-19 14:17:12",,"{""south"":42.3920543,""west"":-71.036576,""north"":42.3920543,""east"":-71.036576}",42,"4th Street",Chelsea,02150,Massachusetts,,"United States",US,,
9327,42.3926244,-71.0299202,,"73 marlborough street 3",,"2016-12-19 14:17:13","2016-12-19 14:17:14",,"{""south"":42.3925626,""west"":-71.029986,""north"":42.3926862,""east"":-71.0298545}",73,"Marlborough Street",Chelsea,02150,Massachusetts,,"United States",US,,
9328,42.3925448,-71.0297188,,"75 marlborough street 1",,"2016-12-19 14:17:16","2016-12-19 14:17:17",,"{""south"":42.3924557,""west"":-71.029818,""north"":42.3926339,""east"":-71.0296196}",75,"Marlborough Street",Chelsea,02150,Massachusetts,,"United States",US,,
9329,42.396555,-71.0320372,,"111 washington avenue",,"2016-12-19 14:17:17","2016-12-19 14:17:18",,"{""south"":42.3965468,""west"":-71.0320372,""north"":42.396555,""east"":-71.032022}",111,"Washington Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9330,42.3902902,-71.0372631,,"15 congress avenue 108",,"2016-12-19 14:17:18","2016-12-19 14:17:19",,"{""south"":42.3901928,""west"":-71.0373998,""north"":42.3903876,""east"":-71.0371263}",15,"Congress Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9331,42.3973203,-71.0257573,,"787 broadway 3",,"2016-12-19 14:17:19","2016-12-19 14:17:20",,"{""south"":42.397235,""west"":-71.0258639,""north"":42.3974056,""east"":-71.0256507}",787,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
9332,42.4016719,-71.0191594,,"1 carroll street",,"2016-12-19 14:17:21","2016-12-19 14:17:21",,"{""south"":42.4016719,""west"":-71.0191594,""north"":42.4016719,""east"":-71.0191594}",1,"Carroll Street",Chelsea,02150,Massachusetts,,"United States",US,,
9333,42.392372,-71.030947,,"61 grove street 2",,"2016-12-19 14:17:22","2016-12-19 14:17:22",,"{""south"":42.392372,""west"":-71.030947,""north"":42.392372,""east"":-71.030947}",61,"Grove Street",Chelsea,02150,Massachusetts,,"United States",US,,
9334,42.40051,-71.033879,,"254 washington avenue 2",,"2016-12-19 14:17:22","2016-12-19 14:17:23",,"{""south"":42.40051,""west"":-71.033879,""north"":42.40051,""east"":-71.033879}",254,"Washington Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9335,42.3879937,-71.0310315,,"200 congress avenue 2",,"2016-12-19 14:17:23","2016-12-19 14:17:24",,"{""south"":42.3879107,""west"":-71.0311361,""north"":42.3880767,""east"":-71.0309269}",200,"Congress Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9336,42.3893896,-71.031012,,"114 central avenue 2",,"2016-12-19 14:17:24","2016-12-19 14:17:24",,"{""south"":42.3893045,""west"":-71.0311012,""north"":42.3894747,""east"":-71.0309228}",114,"Central Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9337,42.3930709,-71.0305069,,"62 marlborough street",,"2016-12-19 14:17:25","2016-12-19 14:17:25",,"{""south"":42.3930709,""west"":-71.0305069,""north"":42.3930709,""east"":-71.0305069}",62,"Marlborough Street",Chelsea,02150,Massachusetts,,"United States",US,,
9338,42.3888338,-71.0355841,,"54 shurtleff street 2",,"2016-12-19 14:17:27","2016-12-19 14:17:27",,"{""south"":42.3888338,""west"":-71.0355841,""north"":42.3888338,""east"":-71.0355841}",54,"Shurtleff Street",Chelsea,02150,Massachusetts,,"United States",US,,
11517,,,,"113 beacon street 1",,"2016-12-19 20:02:55","2016-12-19 20:02:55",,,,,,,,,,,,
11518,,,,"113 spencer avenue 104",,"2016-12-19 20:03:01","2016-12-19 20:03:01",,,,,,,,,,,,
9340,42.3926991,-71.0309602,,"60 grove street 1",,"2016-12-19 14:17:30","2016-12-19 14:17:30",,"{""south"":42.3926189,""west"":-71.0310403,""north"":42.3927792,""east"":-71.0308801}",60,"Grove Street",Chelsea,02150,Massachusetts,,"United States",US,,
9341,42.396975,-71.023886,,"113 spencer avenue 203",,"2016-12-19 14:17:31","2016-12-19 14:17:31",,"{""south"":42.396975,""west"":-71.023886,""north"":42.396975,""east"":-71.023886}",113,"Spencer Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9342,42.3914951,-71.0380622,,"155 chestnut street f",,"2016-12-19 14:17:33","2016-12-19 14:17:34",,"{""south"":42.3914951,""west"":-71.0380622,""north"":42.3914951,""east"":-71.0380622}",155,"Chestnut Street",Chelsea,02150,Massachusetts,,"United States",US,,
9343,42.3894853,-71.0334056,,"79 shawmut street 1",,"2016-12-19 14:17:34","2016-12-19 14:17:34",,"{""south"":42.3894853,""west"":-71.0334056,""north"":42.3894853,""east"":-71.0334056}",79,"Shawmut Street",Chelsea,02150,Massachusetts,,"United States",US,,
9344,42.3919095,-71.0379085,,"168 chestnut street 3",,"2016-12-19 14:17:35","2016-12-19 14:17:36",,"{""south"":42.3919095,""west"":-71.0379085,""north"":42.3919095,""east"":-71.0379085}",168,"Chestnut Street",Chelsea,02150,Massachusetts,,"United States",US,,
9345,42.3983773,-71.0237258,,"855 broadway 108",,"2016-12-19 14:17:36","2016-12-19 14:17:37",,"{""south"":42.3981794,""west"":-71.0240448,""north"":42.3985752,""east"":-71.0234069}",855,Broadway,Chelsea,02150,Massachusetts,,"United States",US,,
9346,42.3973615,-71.0280006,,"54 clark avenue 5",,"2016-12-19 14:17:37","2016-12-19 14:17:38",,"{""south"":42.3972568,""west"":-71.0281347,""north"":42.3974662,""east"":-71.0278665}",54,"Clark Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9347,42.4077306,-71.0282923,,"61 exeter street a",,"2016-12-19 14:17:41","2016-12-19 14:17:41",,"{""south"":42.4077306,""west"":-71.0282923,""north"":42.4077306,""east"":-71.0282923}",61,"Exeter Street",Chelsea,02150,Massachusetts,,"United States",US,,
9348,42.4001562,-71.0327479,,"229 washington avenue 3b",,"2016-12-19 14:17:42","2016-12-19 14:17:43",,"{""south"":42.4001562,""west"":-71.0327479,""north"":42.4001562,""east"":-71.0327479}",229,"Washington Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
9349,42.391057,-71.034696,,"121 hawthorne street a",,"2016-12-19 14:17:46","2016-12-19 14:17:47",,"{""south"":42.391057,""west"":-71.034696,""north"":42.391057,""east"":-71.034696}",121,"Hawthorne Street",Chelsea,02150,Massachusetts,,"United States",US,,
9350,42.3963776,-71.033779,,"35 heard street 2",,"2016-12-19 14:17:49","2016-12-19 14:17:49",,"{""south"":42.3962905,""west"":-71.0338932,""north"":42.3964648,""east"":-71.0336647}",35,"Heard Street",Chelsea,02150,Massachusetts,,"United States",US,,
9351,42.4065404,-71.0305913,,"40 jones avenue 11",,"2016-12-19 14:17:50","2016-12-19 14:17:50",,"{""south"":42.4063982,""west"":-71.0307379,""north"":42.4066825,""east"":-71.0304447}",40,"Jones Avenue",Chelsea,02150,Massachusetts,,"United States",US,,
