tag_id,property_id,created_at,updated_at,deleted_at,created_by,deleted_by
20,7197,"2016-09-07 20:53:48","2016-09-07 20:53:48",,11,
64,2019,"2016-08-03 15:49:45","2016-08-03 15:49:45",,11,
29,10064,"2016-09-08 16:17:04","2016-09-08 16:17:04","2016-09-08 16:19:14",11,11
20,836,"2016-09-14 15:54:53","2016-09-14 15:54:53","2016-10-26 21:47:07",11,11
11,64,"2016-08-04 14:59:17","2016-08-04 14:59:17","2016-09-14 17:59:17",11,11
11,16242,"2016-08-04 15:03:58","2016-08-04 15:03:58","2016-09-14 18:00:31",11,11
11,2276,"2016-08-04 15:09:52","2016-08-04 15:09:52","2016-09-14 18:00:49",11,11
11,7603,"2016-08-04 15:10:53","2016-08-04 15:10:53","2016-09-14 18:01:17",11,11
29,7659,"2016-09-07 19:18:41","2016-09-07 19:18:41","2016-09-07 20:49:27",11,11
31,9907,"2016-09-14 17:30:44","2016-09-14 17:30:44",,11,
48,15260,"2016-09-14 17:46:00","2016-09-14 17:46:00",,11,
64,6775,"2016-08-03 15:51:11","2016-08-03 15:51:11",,11,
64,2976,"2016-08-03 15:53:22","2016-08-03 15:53:22",,11,
64,184,"2016-08-03 14:16:34","2016-08-03 14:16:34","2016-10-12 18:56:20",11,11
41,16333,"2016-09-12 16:18:08","2016-09-12 16:18:08",,11,
41,16332,"2016-09-12 16:22:05","2016-09-12 16:22:05",,11,
41,17550,"2016-09-12 16:28:05","2016-09-12 16:28:05",,11,
41,16779,"2016-09-12 16:30:14","2016-09-12 16:30:14",,11,
41,17551,"2016-09-12 16:34:32","2016-09-12 16:34:32",,11,
41,17552,"2016-09-12 16:40:37","2016-09-12 16:40:37",,11,
20,7603,"2016-08-04 15:11:09","2016-08-04 15:11:09","2016-09-14 15:33:25",11,11
20,9939,"2016-09-07 20:08:51","2016-09-07 20:08:51","2016-09-14 15:34:41",11,11
64,18035,"2016-08-03 15:52:09","2016-08-03 15:52:09",,11,
20,2158,"2016-08-04 14:56:19","2016-08-04 14:56:19","2016-10-19 13:39:49",11,11
43,10669,"2016-09-14 15:52:28","2016-09-14 15:52:28","2016-09-14 15:54:59",11,11
43,2717,"2016-09-14 16:04:17","2016-09-14 16:04:17",,11,
43,35,"2016-09-14 16:14:12","2016-09-14 16:14:12",,11,
43,2970,"2016-09-14 16:19:22","2016-09-14 16:19:22",,11,
43,7480,"2016-09-14 16:23:49","2016-09-14 16:23:49",,11,
20,2894,"2016-08-04 15:16:30","2016-08-04 15:16:30","2016-09-14 17:06:43",11,11
11,7843,"2016-09-07 19:01:54","2016-09-07 19:01:54","2016-09-14 17:25:12",11,11
11,16799,"2016-08-04 15:22:06","2016-08-04 15:22:06",,11,
20,16799,"2016-08-04 15:22:58","2016-08-04 15:22:58",,11,
