id,upload_id,property_id,row_labels,total,created_at,updated_at,raw
153,58,17297,"110 #2 BELLINGHAM ST",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":153,""upload_id"":58,""property_id"":17297,""row_labels"":""110 #2 BELLINGHAM ST"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
156,58,758,"110 CONGRESS AV",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":156,""upload_id"":58,""property_id"":758,""row_labels"":""110 CONGRESS AV"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
159,58,760,"110 LIBRARY ST",8,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":159,""upload_id"":58,""property_id"":760,""row_labels"":""110 LIBRARY ST"",""total"":8,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
163,58,6669,"110 WASHINGTON AV",5,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":163,""upload_id"":58,""property_id"":6669,""row_labels"":""110 WASHINGTON AV"",""total"":5,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
166,58,766,"111 ADDISON ST",1,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":166,""upload_id"":58,""property_id"":766,""row_labels"":""111 ADDISON ST"",""total"":1,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
169,58,772,"111 EASTERN AV",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":169,""upload_id"":58,""property_id"":772,""row_labels"":""111 EASTERN AV"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
173,58,791,"111 SHURTLEFF ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":173,""upload_id"":58,""property_id"":791,""row_labels"":""111 SHURTLEFF ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
176,58,804,"112 HIGHLAND ST",2,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":176,""upload_id"":58,""property_id"":804,""row_labels"":""112 HIGHLAND ST"",""total"":2,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
180,58,811,"113 BEACON ST",3,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":180,""upload_id"":58,""property_id"":811,""row_labels"":""113 BEACON ST"",""total"":3,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
183,58,816,"113 GROVE ST",4,"2016-04-24 00:00:00","2016-04-24 00:00:00","{""id"":183,""upload_id"":58,""property_id"":816,""row_labels"":""113 GROVE ST"",""total"":4,""created_at"":""2016-04-24 00:00:00"",""updated_at"":""2016-04-24 00:00:00"",""raw"":null}"
